Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Commune de l’établissement;Filière de formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Taux d’accès
Lycée Marie Curie;Isère;Auvergne-Rhône-Alpes;Grenoble;Echirolles;BTS - Services - Négociation et digitalisation de la Relation Client;52;1012;211;49;25.0
MFR Moirans - CFA FRMFREO;Isère;Auvergne-Rhône-Alpes;Grenoble;Moirans;BTS - Services - Service et prestation des secteurs sanitaire et social;20;43;27;1;73.0
MFR Moirans - CFA FRMFREO;Isère;Auvergne-Rhône-Alpes;Grenoble;Moirans;BTS - Agricole - Analyses biologiques, biotechnologiques, agricoles et environnementales;20;134;49;14;47.0
Lycée Victor Bérard de MOREZ;Jura;Bourgogne-Franche-Comté;Besancon;Hauts de Bienne;BTS - Production - Conception et industrialisation en microtechniques;15;126;58;13;70.0
Lycée des Métiers du Bois;Jura;Bourgogne-Franche-Comté;Besancon;Mouchard;BTS - Production - Développement et Réalisation Bois;25;187;115;26;89.0
Lycée polyvalent Hyacinthe Friant - Lycée des métiers de l'hôtellerie, de la restauration et du sanitaire et du social;Jura;Bourgogne-Franche-Comté;Besancon;Poligny;BTS - Services - Management en hôtellerie restauration;60;219;136;46;97.0
ENILEA-Lycée-campus Poligny;Jura;Bourgogne-Franche-Comté;Besancon;Poligny;BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques;32;166;84;9;98.0
ENILEA-Lycée-campus Poligny;Jura;Bourgogne-Franche-Comté;Besancon;Poligny;BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) produits laitiers;32;82;57;6;100.0
Lycée Paul Emile Victor- Lycée des métiers de la production et de la maintenance industrielles;Jura;Bourgogne-Franche-Comté;Besancon;Champagnole;BTS - Production - Maintenance des systèmes - option A Systèmes de production;15;88;56;12;94.0
Lycée Pasteur Mont Roland;Jura;Bourgogne-Franche-Comté;Besancon;Dole;BTS - Services - Support à l'action managériale;40;54;12;0;31.0
Lycée Gaston Crampe;Landes;Nouvelle Aquitaine;Bordeaux;Aire-sur-l'Adour;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;30;524;177;23;92.0
Lycée de Borda;Landes;Nouvelle Aquitaine;Bordeaux;Dax;BTS - Production - Maintenance des systèmes - option A Systèmes de production;30;108;67;9;97.0
Lycée Jean Cassaigne;Landes;Nouvelle Aquitaine;Bordeaux;Saint-Pierre-du-Mont;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;24;86;74;10;98.0
Lycée agricole DE DAX;Landes;Nouvelle Aquitaine;Bordeaux;Oeyreluy;BTS - Agricole - Gestion et maitrise de l'eau;32;166;103;17;92.0
I.U.T des Pays de l'Adour - Antenne de Mont De Marsan;Landes;Nouvelle Aquitaine;Bordeaux;Mont-de-Marsan;BUT - Génie biologique parcours sciences de l'aliment et biotechnologie;54;450;369;49;95.0
Lycée Haroun Tazieff;Landes;Nouvelle Aquitaine;Bordeaux;Saint-Paul-lès-Dax;BTS - Services - Conseil et commercialisation de solutions techniques;15;140;79;13;79.0
Lycée Saint-Jacques-de-Compostelle;Landes;Nouvelle Aquitaine;Bordeaux;Dax;BTS - Services - Service et prestation des secteurs sanitaire et social;35;150;127;20;98.0
Lycée Saint-Jacques-de-Compostelle;Landes;Nouvelle Aquitaine;Bordeaux;Dax;BTS - Services - Négociation et digitalisation de la Relation Client;35;215;153;29;77.0
Lycée F Philibert Dessaignes;Loir-et-Cher;Centre;Orléans-Tours;Blois;BTS - Services - Management Commercial Opérationnel;34;512;185;29;42.0
Lycée F Philibert Dessaignes;Loir-et-Cher;Centre;Orléans-Tours;Blois;BTS - Services - Comptabilité et gestion;34;255;102;25;56.0
Lycée agricole - LEGTA de Vendôme;Loir-et-Cher;Centre;Orléans-Tours;Vendôme;BTS - Agricole - Gestion et protection de la nature;32;541;145;35;56.0
Lycée La Providence;Loir-et-Cher;Centre;Orléans-Tours;Blois;BTS - Services - Service et prestation des secteurs sanitaire et social;20;106;84;11;94.0
Lycée des Métiers HOTEL.ET TOURISME VAL DE LOIRE;Loir-et-Cher;Centre;Orléans-Tours;Blois;BTS - Services - Management en hôtellerie restauration;60;192;109;45;80.0
Lycée Camille Claudel;Loir-et-Cher;Centre;Orléans-Tours;Blois;BTS - Services - Opticien-Lunetier;32;472;155;29;59.0
I.U.T de Blois;Loir-et-Cher;Centre;Orléans-Tours;Blois;BUT - Science et génie des matériaux;52;451;322;46;87.0
I.U.T de Blois;Loir-et-Cher;Centre;Orléans-Tours;Blois;BUT - Réseaux et télécommunications;56;554;276;55;54.0
Lycée Albert Camus;Loire;Auvergne-Rhône-Alpes;Lyon;Firminy;BTS - Services - Management Commercial Opérationnel;32;442;186;40;55.0
Lycée Albert Thomas;Loire;Auvergne-Rhône-Alpes;Lyon;Roanne;BTS - Services - Gestion de la PME;24;315;103;16;47.0
Lycée Claude Lebois;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Chamond;BTS - Production - Conception et réalisation en chaudronnerie industrielle;15;126;67;11;85.0
Lycée Claude Fauriel;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;CPGE - MPSI;48;2247;605;44;35.0
Lycée Honore D'Urfe;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Production - Bioanalyses et contrôles;24;541;129;22;36.0
Lycée Honore D'Urfe;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Services - Support à l'action managériale;35;495;140;28;36.0
Lycée Etienne Mimard;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Production - Maintenance des systèmes - option A Systèmes de production;15;220;73;12;49.0
ENSAM - campus de Bordeaux;Gironde;Nouvelle Aquitaine;Bordeaux;Bordeaux;Formation Bac + 3 - Bachelor de Technologie Arts et Métiers;25;253;71;25;38.0
Lycée La Salle;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Production - Contrôle industriel et régulation automatique;20;122;67;13;80.0
Lycée Tezenas du Montcel;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Services - Négociation et digitalisation de la Relation Client;30;443;163;27;45.0
Externat Saint Michel;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;BTS - Services - Economie sociale familiale;60;254;198;24;82.0
Universite Jean Monnet, Saint-Etienne;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;Licence - Lettres - Parcours Lettres modernes;55;382;300;50;100.0
Universite Jean Monnet, Saint-Etienne;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;Licence - Langues étrangères appliquées - Parcours Anglais - Portugais;45;148;138;21;99.0
Universite Jean Monnet, Saint-Etienne;Loire;Auvergne-Rhône-Alpes;Lyon;Saint-Etienne;Licence - Histoire;170;972;838;145;100.0
I.U.T de Roanne;Loire;Auvergne-Rhône-Alpes;Lyon;Roanne;BUT - Réseaux et télécommunications;45;684;256;51;73.0
I.U.T de Roanne;Loire;Auvergne-Rhône-Alpes;Lyon;Roanne;BUT - Techniques de commercialisation;105;1793;792;107;45.0
Université Jean Monnet - Campus de Roanne;Loire;Auvergne-Rhône-Alpes;Lyon;Roanne;Licence - Portail Administration économique et sociale;170;1139;968;138;97.0
Lycée Charles et Adrien Dupuy;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;Le Puy-en-Velay;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);7;57;32;5;85.0
LEGTPA Brioude-Bonnefont - Site de Fontannes;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;Fontannes;BTS - Agricole - productions animales;32;355;116;28;55.0
Lycée Emmanuel Chabrier;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;Yssingeaux;BTS - Production - Maintenance des systèmes - option A Systèmes de production;15;88;46;9;79.0
Lycée général et technologique Grand Air;Loire-Atlantique;Pays-de-la-Loire;Nantes;La Baule-Escoublac;BTS - Services - Tourisme;35;798;199;27;47.0
Lycée général Clemenceau;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;CPGE - MPSI;96;3445;464;95;22.0
Lycée général Gabriel Guist'Hau;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;CPGE - B/L - Lettres et sciences sociales;48;1743;296;52;47.0
LGT Livet;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Production - Travaux publics;24;280;163;22;84.0
Lycée Polyvalent Gaspard Monge - La Chauvinière;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;13;146;32;8;52.0
Lycée polyvalent Nelson Mandela;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Support à l'action managériale;35;554;144;31;40.0
Lycée polyvalent Nelson Mandela;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Banque;35;643;182;32;46.0
Lycée polyvalent Nelson Mandela;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Comptabilité et gestion;35;746;145;31;41.0
Lycée général et technologique Jean Perrin;Loire-Atlantique;Pays-de-la-Loire;Nantes;Rezé;BTS - Services - Analyses de biologie médicale;29;1108;182;24;42.0
LGT Aristide Briand;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Nazaire;BTS - Production - Conception et réalisation en chaudronnerie industrielle;10;122;28;12;51.0
LGT Aristide Briand;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Nazaire;BTS - Production - Electrotechnique;18;123;45;24;84.0
Lycée Ste Anne;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Nazaire;BTS - Services - Management en hôtellerie restauration;53;126;99;21;100.0
I.U.T. Nantes;Loire-Atlantique;Pays-de-la-Loire;Nantes;Carquefou;BUT - Gestion des entreprises et des administrations;196;3130;866;194;33.0
Lycée St Joseph;Loire-Atlantique;Pays-de-la-Loire;Nantes;Châteaubriant;BTS - Services - Négociation et digitalisation de la Relation Client;18;189;96;16;87.0
LGT Saint-Stanislas;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;CPGE - MPSI;48;1080;391;48;42.0
Lycée général et technologique Notre-Dame d'Espérance;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Nazaire;BTS - Services - Management Commercial Opérationnel;24;167;112;12;96.0
LPO Sacré-Coeur La Salle;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Management Commercial Opérationnel;35;369;219;25;81.0
LPO Sacré-Coeur La Salle;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Tourisme;35;393;186;23;76.0
Lycée/Campus Talensac;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Production - Biotechnologies;45;328;222;33;89.0
IMS Nantes;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Banque;30;232;141;25;82.0
Lycée St Pierre La Joliverie;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Sébastien-sur-Loire;BTS - Services - Management Commercial Opérationnel;35;516;226;29;62.0
Lycée St Pierre La Joliverie;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Sébastien-sur-Loire;BTS - Services - Services informatiques aux organisations;68;369;256;53;92.0
Lycée général et technologique Albert Camus;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Professions immobilières;35;942;237;24;42.0
Lycée agricole Campus de Briacé;Loire-Atlantique;Pays-de-la-Loire;Nantes;Le Landreau;BTS - Agricole - Gestion et protection de la nature;32;345;167;33;81.0
I.U.T. Saint-Nazaire;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Nazaire;BUT - Génie chimique génie des procédés;78;622;503;26;86.0
I.U.T. Saint-Nazaire;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Nazaire;BUT - Management de la Logistique et des Transports;115;742;540;99;84.0
Nantes Université;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER : Allemand Monolingue et Bilingue;35;46;39;3;100.0
Nantes Université;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER : Anglais Monolingue et Bilingue;420;1404;1394;253;100.0
Nantes Université;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;Licence - Langues étrangères appliquées - Parcours Trilingue;215;1123;992;194;100.0
Nantes Université;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;Licence - Lettres;230;897;846;124;100.0
Nantes Université;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;Licence - Histoire de l'art et archéologie;235;1614;1359;191;100.0
Nantes Université;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;Licence - Sociologie;428;2156;2144;386;100.0
Nantes Université;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;Licence - Portail Economie et gestion;344;4309;2539;337;76.0
Lycée St Joseph La Joliverie;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Sébastien-sur-Loire;BTS - Production - Motorisations toutes énergies;28;228;81;30;46.0
ENC-ENSEC;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Support à l'action managériale;18;84;47;10;99.0
Lycée général et technologique Carcouët;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;CPGE - ENS Rennes D1;40;1254;177;40;26.0
Lycée général et technologique Carcouët;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Services informatiques aux organisations;51;694;324;45;67.0
Lycée agricole Jules Rieffel;Loire-Atlantique;Pays-de-la-Loire;Nantes;Saint-Herblain;BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson;27;94;42;8;68.0
Lycée polyvalent Nicolas Appert;Loire-Atlantique;Pays-de-la-Loire;Nantes;Orvault;BTS - Services - Management en hôtellerie restauration;72;260;186;54;90.0
LGT La Herdrie;Loire-Atlantique;Pays-de-la-Loire;Nantes;Basse-Goulaine;BTS - Services - Négociation et digitalisation de la Relation Client;30;894;261;27;47.0
LGT La Herdrie;Loire-Atlantique;Pays-de-la-Loire;Nantes;Basse-Goulaine;BTS - Services - Gestion de la PME;30;606;234;21;67.0
ENC-ENACOM;Loire-Atlantique;Pays-de-la-Loire;Nantes;Nantes;BTS - Services - Commerce International;35;440;93;37;35.0
Lycée Bernard Palissy;Loiret;Centre;Orléans-Tours;Gien;BTS - Services - Management Commercial Opérationnel;30;308;136;24;62.0
Lycée En Foret;Loiret;Centre;Orléans-Tours;Montargis;BTS - Services - Négociation et digitalisation de la Relation Client;32;340;87;30;29.0
Lycée En Foret;Loiret;Centre;Orléans-Tours;Montargis;BTS - Services - Comptabilité et gestion;30;209;86;28;61.0
Lycée Pothier;Loiret;Centre;Orléans-Tours;Orléans;CPGE - PCSI;96;1305;649;97;82.0
Lycée Pothier;Loiret;Centre;Orléans-Tours;Orléans;CPGE - B/L - Lettres et sciences sociales;48;2972;419;31;82.0
Lycée Jean ZAY;Loiret;Centre;Orléans-Tours;Orléans;BTS - Services - Support à l'action managériale;24;408;102;23;26.0
Lycée Jean ZAY;Loiret;Centre;Orléans-Tours;Orléans;BTS - Services - Commerce International;34;1133;143;33;19.0
Lycée BENJAMIN FRANKLIN;Loiret;Centre;Orléans-Tours;Orléans;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);15;130;39;8;52.0
Lycée BENJAMIN FRANKLIN;Loiret;Centre;Orléans-Tours;Orléans;BTS - Services - Services informatiques aux organisations;32;464;151;34;45.0
Lycée Duhamel du Monceau;Loiret;Centre;Orléans-Tours;Pithiviers;BTS - Services - Gestion de la PME;24;152;85;21;73.0
Lycée professionnel Gaudier-Brzeska;Loiret;Centre;Orléans-Tours;Saint-Jean-de-Braye;BTS - Production - Travaux publics;15;148;66;11;73.0
I.U.T d'Orléans;Loiret;Centre;Orléans-Tours;Orléans;BUT - Chimie;87;1108;737;79;81.0
Lycée Saint Francois De Sales;Loiret;Centre;Orléans-Tours;Gien;BTS - Services - Gestion de la PME;30;97;47;10;77.0
Lycée Saint-Paul Bourdon Blanc;Loiret;Centre;Orléans-Tours;Orléans;BTS - Services - Management Commercial Opérationnel;14;360;71;15;21.0
Lycée Voltaire;Loiret;Centre;Orléans-Tours;Orléans;BTS - Services - Collaborateur juriste notarial;24;716;139;24;31.0
Lycée Voltaire;Loiret;Centre;Orléans-Tours;Orléans;BTS - Services - Management Commercial Opérationnel;36;1136;275;29;31.0
Lycée Jacques Monod;Loiret;Centre;Orléans-Tours;Saint-Jean-de-Braye;BTS - Production - Contrôle industriel et régulation automatique;12;117;53;8;83.0
Lycée Louis Vicat;Lot;Occitanie;Toulouse;Souillac;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;15;95;54;9;93.0
Lycée Louis Vicat;Lot;Occitanie;Toulouse;Souillac;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;15;65;40;11;76.0
I.U.T de Figeac;Lot;Occitanie;Toulouse;Figeac;BUT - Génie mécanique et productique;45;814;278;42;53.0
I.U.T de Figeac;Lot;Occitanie;Toulouse;Figeac;BUT - Carrières sociales Parcours animation sociale et socioculturelle;28;177;78;24;55.0
Lycée Jean-Baptiste De Baudre;Lot-et-Garonne;Nouvelle Aquitaine;Bordeaux;Agen;BTS - Production - Conception de produits industriels;14;165;100;6;89.0
Lycée Jean-Baptiste De Baudre;Lot-et-Garonne;Nouvelle Aquitaine;Bordeaux;Agen;BTS - Services - Comptabilité et gestion;35;270;139;22;78.0
Lycée agricole DE SAINTE LIVRADE;Lot-et-Garonne;Nouvelle Aquitaine;Bordeaux;Sainte-Livrade-sur-Lot;BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques;14;56;43;10;100.0
I.U.T. de Bordeaux - Site d'Agen;Lot-et-Garonne;Nouvelle Aquitaine;Bordeaux;Agen;BUT - Gestion administrative et commerciale des organisations;84;2212;439;87;32.0
Lycée ST PIERRE-ST PAUL;Lozère;Occitanie;Montpellier;Langogne;BTS - Production - Maintenance des véhicules option voitures particulières;16;86;45;11;66.0
MFREO de Javols;Lozère;Occitanie;Montpellier;Peyre en Aubrac;BTS - Agricole - Gestion forestière;24;110;72;12;84.0
Lycée agricole De La Lozere;Lozère;Occitanie;Montpellier;La Canourgue;BTS - Agricole - Aquaculture;27;187;99;10;94.0
Lycée polyvalent privé Sacre-Coeur;Lozère;Occitanie;Montpellier;Saint-Chély-d'Apcher;BTS - Services - Management en hôtellerie restauration;70;110;97;49;95.0
Lycée Polyvalent Chevrollier;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;CPGE - ECT - Option technologique;35;543;183;34;45.0
Lycée Polyvalent Chevrollier;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BTS - Services - Gestion de la PME;70;921;305;69;50.0
Lycée polyvalent Europe Robert Schuman;Maine-et-Loire;Pays-de-la-Loire;Nantes;Cholet;BTS - Services - Management Commercial Opérationnel;30;574;198;24;60.0
Lycée général Duplessis Mornay;Maine-et-Loire;Pays-de-la-Loire;Nantes;Saumur;BTS - Services - Tourisme;24;358;79;23;52.0
Lycée polyvalent Sadi Carnot - Jean Bertin;Maine-et-Loire;Pays-de-la-Loire;Nantes;Saumur;BTS - Production - Conception et Réalisation de Systèmes Automatiques;10;61;32;5;98.0
I.U.T. Angers-Cholet - Site d'Angers;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BUT - Génie mécanique et productique;34;1480;205;34;30.0
I.U.T. Angers-Cholet - Site d'Angers;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;BUT - Techniques de commercialisation;140;6554;613;148;13.0
Facultés libres de l'Ouest - UCO ANGERS;Maine-et-Loire;Pays-de-la-Loire;Nantes;Angers;Licence - Arts plastiques;45;484;483;33;100.0
INSA Toulouse;Haute-Garonne;Occitanie;Toulouse;Toulouse;Formation d'ingénieur Bac + 5 - Bac Général;250;16471;1829;250;11.0
Lycée Technologique La Providence;Maine-et-Loire;Pays-de-la-Loire;Nantes;Cholet;BTS - Services - Tourisme;18;168;75;22;48.0
LPO SAINT AUBIN LA SALLE;Maine-et-Loire;Pays-de-la-Loire;Nantes;Verrières-en-Anjou;CPGE - PTSI;24;268;121;18;86.0
LPO SAINT AUBIN LA SALLE;Maine-et-Loire;Pays-de-la-Loire;Nantes;Verrières-en-Anjou;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;15;89;49;8;85.0
Lycée agricole Angers le Fresne;Maine-et-Loire;Pays-de-la-Loire;Nantes;Sainte-Gemmes-sur-Loire;BTS - Agricole - Technico-commercial - Spécialité biens et services pour l'agriculture;20;100;70;9;86.0
